name,provider,campus,lon,lat,device_ids
西溪西六教学楼南侧（待测试）,"万充科技",4,120.145644,30.280901,"[18481746,18481755]"
西溪东门南侧（待测试）,"点点畅行",4,120.150306,30.280115,[392742]
西溪东门南侧（待测试）,"超翔科技",4,120.149616,30.280057,"[231657,252408]"
紫金港蓝田北门北-港湾29（待测试）,"河狸物联",2,120.089326,30.316550,[77066584]
紫金港港湾家园1号（待测试）,"电动车充电网",2,120.094563,30.316998,[0]
紫金港银泉北门校外地下停车场（待测试）,"待补充",2,120.081965,30.314061,[0]
紫金港堕落街,"多航科技",2,120.096273,30.315510,[23374]
紫金港剑桥公社,"待补充",2,120.099270,30.311480,[0]
紫金港剑桥公社（换电）,"待补充",2,120.101059,30.311719,[0]
玉泉青芝坞（待测试）,"多航科技",1,120.127322,30.265159,"GD1B404251;GD1B335537;GD1B336163;GD1B339585"
玉泉北门换电（待测试）,"威可迪",1,120.133877,30.2746822,"SFT0C0YZHH25004612;ZYXF10HDZ2023003373"
玉泉菜鸟驿站南侧,"专用站点",1,120.130126,30.274788,[0]
玉泉智泉大楼北侧,"专用站点",1,120.128800,30.271669,[0]
玉泉民族食堂,"专用站点",1,120.131598,30.273082,[0]
玉泉石虎山基地,"专用站点",1,120.122100,30.268025,[0]
西溪8舍南侧,"专用站点",4,120.146410,30.282354,[0]
西溪西二教学楼北侧,"专用站点",4,120.146506,30.2790195,[0]
